WLD,,,,,,,,,,,,,,,,,,,,,12264400000000,13687800000000,14609700000000,15610300000000,16962400000000,18144100000000,19183300000000,20471500000000,22188800000000,23890700000000,25487400000000,26754900000000,27856200000000,29000900000000,30439100000000,32244000000000,34078700000000,36110300000000,37662800000000,39550100000000,42453900000000,44490200000000,46576800000000,49214400000000,53048200000000,57228900000000,62609800000000,67834700000000,71762800000000,72042600000000,76296500000000,80855200000000
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15574598476,17245520642,17917521321,20581045030,22424961488,26245650255,27794819533,34080175015,37215705826,40227686867
ALB,,,,,,,,,,,,,,,,,,,,,5410116634,6257151131,6834124877,7182950480,7359442334,7719244067,8336726579,8513382254,8684745973,9898112894,9289752659,6763294884,6408538003,7177745498,7931768881,9195765076,10210229361,9345538922,10680386867,11931529044,13079542539,14312392944,14966609027,16152943358,17586890312,19170030939,21452918083,22753569165,26020593174,27373323936,27656157436,28513575566
DZA,,,,,,,,,,,,,,,,,,,,,57105736149,64331623066,72619288176,79568322946,87179838557,93166434893,95630608831,97743494637,100136000000,108477000000,113492000000,115941000000,120514000000,120569000000,121917000000,129494000000,137190000000,141373000000,150671000000,157772000000,164732000000,172847000000,183909000000,200740000000,217116000000,235763000000,248236000000,263096000000,275368000000,285688000000,297200000000,311419000000
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,16791799112,17647942136,19600050850,21418421624,22313596738,23090378065,23588571109,22423529869,17255100493,18222643618,20585829052,23296786998,25621820801,27749765913,29068878508,30592371681,32268923104,37544808797,39603930375,45270714640,55314910087,68938922231,86964531789,101169000000,104974000000,109318000000,116133000000
ATG,,,,,,,,,,,,,,,,,,,,,245738292,279745570,297286388,323503995,368392224,409977406,472457129,526483595,574356615,630382823,670942954,707871677,728912305,785043360,851713040,835125549,907193781,969860927,1026834826,1065085921,1143627502,1133064233,1184799035,1289409519,1390784848,1524816381,1787090993,2015964159,2061158848,1840696681,1707086531,1657106143
ARG,,,,,,,,,,,,,,,,,,,,,135325000000,139587000000,140751000000,151988000000,161184000000,153505000000,169297000000,179328000000,180828000000,173570000000,175831000000,204841000000,234130000000,253396000000,273645000000,272045000000,292163000000,321950000000,339042000000,332367000000,336880000000,329328000000,298214000000,331405000000,371488000000,419049000000,469189000000,524569000000,572405000000,584871000000,642960000000,715586000000
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7521217352,6866928035,4080732479,3803220506,4090210576,4474157550,4820456838,5076561481,5523674641,5789622012,6263872381,7018067323,8072483818,9399844922,10675739867,12559496968,14675740831,17177502358,18768814150,16325143009,16785102651,17948445426
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,134962000000,151929000000,166073000000,171214000000,189008000000,203739000000,216983000000,228537000000,247345000000,270496000000,294576000000,307245000000,318134000000,336586000000,356997000000,377805000000,402385000000,424483000000,453417000000,479220000000,503196000000,531435000000,564874000000,592729000000,630463000000,663302000000,706626000000,760894000000,795058000000,853400000000,845371000000,898513000000
AUT,,,,,,,,,,,,,,,,,,,,,78352442300,85572257378,92611924916,99137563525,102914000000,108707000000,113695000000,118617000000,126760000000,136675000000,148129000000,158657000000,165826000000,170359000000,178100000000,186646000000,193905000000,199209000000,209079000000,217282000000,231573000000,233510000000,246209000000,254349000000,268412000000,276672000000,302094000000,315872000000,331667000000,325305000000,338957000000,355245000000
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24579791235,25237195042,19945030705,15673990755,12842473273,11590579832,11949163061,12885927131,14373650272,15663656652,17778861376,19981935601,22458899394,25500372595,28891463742,37730965491,52385274480,67406390444,76337853465,84535652542,89389381417,92295060423
BHS,,,,,,,,,,,,,,,,,,,,,2618848323,2600024536,2943223325,3169700327,3754797629,4056331084,4221551593,4474924661,4737714887,5246781320,5358841616,5309243574,5213686076,5344390073,5624920093,6007812357,6372429197,6629223041,7039411579,7652908845,8142905639,8546162473,8919837717,8992542024,9326987417,9963764564,10544058090,11006686020,10988637198,10592218794,10686099458,11102156089
BHR,,,,,,,,,,,,,,,,,,,,,3612807639,3741328202,3669351774,4057720589,4420775518,4339007718,4488504673,5100450425,5647531091,5881458259,6375435552,7332388063,7987701133,9213378177,9377462516,9972731778,10566459365,11103277078,11798580098,12486360131,13432626241,14369065821,15370489112,16824251124,18265900390,20344224752,22407560903,24980149980,27141098296,28350837108,29835883358,
BGD,,,,,,,,,,,,,,,,,,,,,26053200459,29578378383,32126271971,34738290420,37910222738,40327255370,42980602605,45891054582,48514535573,51655898917,56800421188,60691930326,65093068376,69563041295,73878659997,79320621870,84456265745,90722227802,96805895305,103008000000,111493000000,120034000000,127369000000,136888000000,149561000000,163728000000,180214000000,197359000000,214210000000,229490000000,245138000000,267411000000
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,2190177517,2450326586,2547863420,2801376167,3053312836,3016779529,3028464831,2938297265,3032395478,3217122077,3341021494,3462541749,3754980096,3964319626,4126736478,4313492859,4188335490,4105441830,4276095209,4558356419,4859542249,5187828949,5363729664,5492208554,5269589713,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47346730392,48368273291,44645909914,42157241636,37982752156,34824296052,36433285797,41369097564,45474093127,47709667002,51569008682,55230164895,58958797631,64440802664,73838257109,83491527463,94801708412,105986000000,119431000000,121201000000,131456000000,141507000000
BEL,,,,,,,,,,,,,,,,,,,,,100794000000,109932000000,117324000000,122345000000,130071000000,136258000000,141843000000,149370000000,161831000000,173786000000,186169000000,196301000000,204039000000,206512000000,217636000000,227449000000,231718000000,242631000000,248656000000,259291000000,283448000000,293365000000,310463000000,314342000000,324901000000,337300000000,360664000000,378655000000,396535000000,394858000000,412224000000,426762000000
BLZ,,,,,,,,,,,,,,,,,,,,,232964973,258087804,273037217,277859628,293939853,306148330,327310825,374686889,423552221,497030224,570711238,652049752,745916224,810113934,827913597,852630121,880125304,928895644,977182961,1078569685,1245582083,1336966110,1427952388,1593940149,1714471992,1825017017,1971550111,2055899576,2174734059,2203362530,2283274140,2379197925
BEN,,,,,,,,,,,,,,,,,,,,,1954992309,2351064617,2550059316,2535670023,2839528421,3146602253,3286804113,3332358533,3565830028,3594456626,3850656213,4169542764,4428086644,4684423538,4988794271,5339896996,5735923003,6205945151,6578884399,6988906556,7554254840,8111792810,8614477235,9138980367,9687190366,10298986960,11067110536,11911804497,12796151840,13457256858,13958877308,14712289486
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,,,,,,,,,,,,,,,,,,,,,179532994,223668606,245397401,283958266,307828187,330590101,377629243,500234042,543470925,605844138,697214589,717968030,766819516,799196946,855846774,937709742,1007423252,1082024980,1162116055,1273299593,1391038592,1539279572,1732088687,1904124111,2073088805,2294458187,2530702637,3070871654,3285340326,3552545667,3998675380,4315617528
BOL,,,,,,,,,,,,,,,,,,,,,9657818373,10592096774,10794836336,10768229280,11150230973,11298124650,11253445376,11868512444,12639157557,13612020068,14783223235,16090630246,16700064514,17794800549,19004548001,20356448789,21620440831,23129003374,24633512014,25101410571,26287653199,27336285348,28470689836,29858614638,31979191657,34501536008,37322982219,40157969729,43569714324,45625160863,47843543118,51440192613
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3649915362,4511673250,8676109613,11884560531,13931557252,15492875035,16698644055,17828615750,19078392704,20259484584,22099640091,23974844510,27087932173,29851137424,32788754724,32186105954,32470207862,34056763283
BWA,,,,,,,,,,,,,,,,,,,,,1632683521,1947575992,2317606315,2726021421,3070100367,3389293509,3748275255,4316513468,5335627362,6259513703,6936934937,7707665960,8099588667,8435762204,8919790045,9529257216,10236442770,11494856869,12888802676,13740256932,14863750310,15739454836,17436098717,18920560939,20615343094,21649422857,23495547714,25339272476,26661202556,25708798570,27706451152,29944744760
BRA,,,,,,,,,,,,,,,,,,,,,439710000000,459793000000,490637000000,492653000000,538089000000,598584000000,660854000000,704702000000,728493000000,780707000000,775472000000,813950000000,827214000000,884786000000,845366000000,1016060000000,1056290000000,1112990000000,1129020000000,1148500000000,1223880000000,1268080000000,1322900000000,1366260000000,1484930000000,1582640000000,1698320000000,1854080000000,1993040000000,2012650000000,2179560000000,2289010000000
BRN,,,,,,,,,,,,,,,,,,,,,7283671587,6386862933,7044103503,7359456026,7681660603,7798243710,7756116372,8143761409,8519835913,8745593846,9176167161,9786493353,10468136407,10730220537,11293070455,12073348426,12640797386,12694929813,12801375936,13385528833,14064818063,14778374983,15599884044,16391047401,16936858200,17566847030,18931013114,19509956519,19554749710,19462412463,20109273427,21011349604
BGR,,,,,,,,,,,,,,,,,,,,,24507007840,28117325798,30526864396,32822949275,35212361722,37261491823,39697519224,43334541658,49751603529,49926072141,47094973554,44582927743,42211455339,42498374509,44152008744,46471393329,38798410984,40356864183,45137177556,46510521259,50859838323,54218416108,59639723385,64251281224,69018015602,75923629635,85177546620,94551654136,106083000000,103286000000,104668000000,110832000000
BFA,,,,,,,,,,,,,,,,,,,,,2111760212,2407965862,2798961280,2919742042,2975514891,3327561106,3672603019,3771273738,4128782269,4376328279,4514917165,5091768895,5211116999,5509696148,5695803102,6161481273,6961273128,7543679485,8208672163,8945732149,9308098113,10152004843,10801704850,11916477302,12819323465,14390722537,15860320284,16908666203,18284965746,19075038830,20724683786,22068447712
BDI,,,,,,,,,,,,,,,,,,,,,1191616542,1461822941,1534548454,1654516644,1719325430,1980611149,2090709850,2270390978,2467655904,2595103147,2787793065,3026567701,3121529342,2990911465,2934923006,2765348879,2589170422,2597122200,2758704185,2770883444,2806581379,2929215206,3109145453,3135789779,3379785231,3523396912,3832904322,4132778876,4437410025,4651758971,4861970212,5178646430
KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6077170891,6765152749,7368553200,7904903175,8510094489,9061910275,10289861134,11434114505,12633320989,13697093092,15175221027,17215177724,20143333755,23032802718,26120984970,28485168809,28885172008,30823805033,33738320541
CMR,,,,,,,,,,,,,,,,,,,,,8728168475,11176951074,12749204899,14163599048,15793969772,17588696053,19199652922,19337964449,18445766066,18791957363,18313761888,18214927939,18022037314,17827801544,17736010676,18747534166,20033477879,21461080057,22859246794,24213550024,25776437894,27550812798,29120666492,30932664059,32979591403,34856839002,37140684872,39510546701,41417105300,42791145511,44354528656,47247283126
CAN,,,,,,,,,,,,,,,,,,,,,271283000000,307103000000,316499000000,337960000000,371041000000,400650000000,419525000000,450192000000,488918000000,520725000000,541904000000,549371000000,567340000000,593353000000,634867000000,666239000000,689963000000,731875000000,770476000000,825019000000,874086000000,909848000000,937829000000,989275000000,1048820000000,1132000000000,1200850000000,1262850000000,1298960000000,1274080000000,1332630000000,1392060000000
CPV,,,,,,,,,,,,,,,,,,,,,142251955,168733620,184071394,209570574,225667808,252657608,265724128,285295367,312934934,343217175,358699710,376097449,395710231,433948354,473466478,520776468,565474867,620407730,682051576,774131040,848354077,920836222,985222551,1053088127,1129034371,1242576850,1412746715,1579437003,1714416081,1801472900,1908710097,2049699220
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,,,,,,,,,,,,,,,,,,,,,1078933921,1161829401,1327722466,1268076359,1440450423,1542739301,1633667433,1598481303,1682436679,1780289797,1808124380,1859242921,1776449393,1821480236,1949635781,2138632628,2089441879,2242596773,2380984491,2502869085,2493098378,2564916999,2590931318,2457677445,2552041205,2700032166,2893045823,3087064430,3218436741,3316238323,3439851403,3632546281
TCD,,,,,,,,,,,,,,,,,,,,,1414259314,1562940675,1746822948,2100631861,2224181497,2791620737,2737548123,2750445594,3286889113,3577220759,3557747630,3992630713,4402925805,3792597879,4262095105,4415179625,4592864687,4946062641,5364207071,5405695539,5474078267,6250824269,6891720082,8072840052,11090974312,13445267520,13906767384,14338559956,14597012735,14611699600,16627842493,17525310452
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,26038545592,29828108130,28378634091,28384076521,31798253201,35102283604,37895532811,41996205049,47091970712,54579112991,59375684505,67046275377,77839486621,85959802883,93698359602,106869000000,117122000000,127010000000,132528000000,133379000000,150108000000,158651000000,164721000000,174846000000,190631000000,208689000000,224844000000,243411000000,257301000000,256872000000,276175000000,298940000000
CHN,,,,,,,,,,,,,,,,,,,,,245467000000,282433000000,326909000000,376882000000,450474000000,526903000000,586088000000,673238000000,775408000000,837586000000,902388000000,1018900000000,1188090000000,1384110000000,1597300000000,1812620000000,2029190000000,2260660000000,2471230000000,2698030000000,2987950000000,3309310000000,3669090000000,4121010000000,4664800000000,5364250000000,6240540000000,7333300000000,8215030000000,9088910000000,10105000000000,11290900000000
COL,,,,,,,,,,,,,,,,,,,,,67966500568,76018960300,81415584483,85976954473,92198939358,97948959223,105985000000,114951000000,123783000000,132832000000,146200000000,154611000000,165812000000,173456000000,187316000000,201646000000,209436000000,220796000000,225173000000,218870000000,233489000000,242789000000,252910000000,268356000000,290614000000,314392000000,346270000000,380896000000,403128000000,415180000000,434842000000,470821000000
COM,,,,,,,,,,,,,,,,,,,,,189308156,215053140,242720467,264485829,285698466,301137526,313619476,328095882,348646080,350263787,382057467,373726315,414152074,435953970,421357839,446725971,448763878,475850390,488724663,505432358,523689881,553392418,585714298,612851709,628569861,676904052,707420264,731503233,754968637,778754551,800724401,836798119
COD,,,,,,,,,,,,,,,,,,,,,10045242494,11244963809,11875493465,12519510176,13709474210,14194254351,15196177965,16059923870,16697362662,17106564253,16589118127,15708423380,14355167233,12693993235,12447301341,12826039588,12919597519,12428967809,12398874400,12043465707,11453729292,11467413930,12057834824,13024844853,14280180500,15905111821,17334550173,18953299936,20564804295,21426080748,23125425057,25267133095
COG,,,,,,,,,,,,,,,,,,,,,2534667987,3260684628,4275678275,4705001151,5222260996,5317937332,5063794326,5222030626,5499327584,5854702507,6137514440,6498101361,6808274828,6889376624,6643502387,7068984887,7502821352,7599676120,7994472262,7902234626,8684842819,9219473521,9798471018,10086239071,10730327212,11946336814,13100729336,13267242010,14316260720,15588061744,17072012452,18049410154
CRI,,,,,,,,,,,,,,,,,,,,,7135625982,7627893537,7503049213,8023143210,8840726995,9205599130,9955880351,10952147025,11766413259,12827834480,13834254348,14672288872,16352429903,17949834806,19181537877,20397369383,20942595120,22537057490,24772884807,27202868376,28291941602,29244786052,30582206716,33226310967,35615496940,38963718161,43751910156,48592843937,51024127149,51170728409,53943799927,57458849749
CIV,,,,,,,,,,,,,,,,,,,,,10633897191,12037670920,12796747080,12784080044,12905910324,13898716250,14672624285,15049818363,15750902994,16825647855,17272386962,17866673629,18198389439,18561571134,19093128095,20929499708,22946458937,24726433465,26265428460,27073354064,26635702586,27233776136,27280030204,27421434516,28698100858,30023069144,31203581325,32658758304,34158733082,35906215660,37025632895,36060808458
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37225300415,40438521202,43826878417,45386269282,45396643475,48339587650,51788446137,55822528813,59592801007,64101369174,68104095330,74568447768,82894849629,89634788084,84850121329,82736806186,85800060579
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
