fips_cntry,sat,year,count,sum,mean,stddev,min,max
SZ,f10,1992,34578,615387,17.7970675,12.03993373,4,63
TB,f10,1992,32,495,15.46875,7.897722674,4,31
TD,f10,1992,4770,67249,14.09832285,14.32716619,4,63
TH,f10,1992,62285,733758,11.78065345,12.30671893,3,63
TI,f10,1992,16672,182435,10.94259837,7.900784065,3,62
TK,f10,1992,107,822,7.682242991,3.086292064,4,16
TL,f10,1992,0,0,0,0,0,0
TN,f10,1992,229,1511,6.598253275,3.657282799,3,28
TO,f10,1992,1479,15240,10.30425963,11.48138639,4,63
TP,f10,1992,75,590,7.866666667,3.473071007,4,16
TS,f10,1992,28115,324688,11.54856838,11.95544879,3,63
TT,f10,1992,189,1384,7.322751323,4.984267402,3,32
TU,f10,1992,144489,1479241,10.23774128,9.730894667,3,63
TV,f10,1992,0,0,0,0,0,0
TX,f10,1992,28973,288070,9.942705277,8.710812947,3,63
TZ,f10,1992,3293,38451,11.6765867,11.74308132,3,63
UC,f10,1992,443,11351,25.62302483,22.15164467,4,63
UG,f10,1992,1111,13635,12.27272727,11.27483213,5,61
UK,f10,1992,305823,6312646,20.64150178,16.89909808,4,63
UP,f10,1992,437140,4871183,11.14330192,8.3676969,4,63
US,f10,1992,3649650,57823260,15.84350828,15.71202179,2,63
UV,f10,1992,778,12163,15.63367609,14.53223514,4,63
UY,f10,1992,5012,100252,20.00239425,15.97295432,5,63
UZ,f10,1992,94588,1202354,12.7114856,10.51417297,3,63
VC,f10,1992,258,2172,8.418604651,7.190861637,4,40
VE,f10,1992,86386,1212372,14.03435742,14.45052121,3,63
VI,f10,1992,97,1343,13.84536082,8.685027057,4,38
VN,f10,1992,26792,172362,6.43333831,6.276276333,2,63
VQ,f10,1992,427,14216,33.29274005,20.9996324,4,63
VT,f10,1992,0,0,0,0,0,0
WA,f10,1992,4655,40603,8.72244898,9.951368366,3,63
WF,f10,1992,46,195,4.239130435,0.51855915,3,5
WQ,f10,1992,24,295,12.29166667,9.24877995,4,35
WS,f10,1992,108,720,6.666666667,4.050605807,3,25
WZ,f10,1992,2745,19109,6.961384335,6.122487046,3,47
YM,f10,1992,19146,157565,8.229656325,8.858242684,3,63
ZA,f10,1992,6543,78068,11.93152988,12.26526394,3,63
ZI,f10,1992,10880,114487,10.52270221,12.68221019,3,63
AA,f10,1993,220,6926,31.4818181818182,19.0538623229383,4,63
AC,f10,1993,389,4891,12.573264781491,11.4138284813134,3,57
AE,f10,1993,38093,550082,14.4405008794267,16.5894322211233,3,63
AF,f10,1993,1714,17913,10.450991831972,8.73853251933824,3,54
AG,f10,1993,165668,1471932,8.88482990076539,10.4199917507514,2,63
AJ,f10,1993,35872,319672,8.91146297948261,7.93818952841513,4,63
AL,f10,1993,5421,30632,5.65061796716473,4.19115886837885,3,47
AM,f10,1993,4923,40763,8.28011375177737,5.64291763420544,4,45
AN,f10,1993,616,11501,18.6704545454545,15.3846832179108,4,63
AO,f10,1993,4943,44819,9.06716568885292,10.2370418724384,3,63
AQ,f10,1993,198,2280,11.5151515151515,7.99667056521389,3,35
AR,f10,1993,176440,1863593,10.5621911131263,13.0779977889223,2,63
AS,f10,1993,150438,1620201,10.7698919156064,14.4572818227697,2,63
AU,f10,1993,70899,689265,9.72178733127407,8.5599689309257,4,63
AV,f10,1993,90,958,10.6444444444444,4.51986015297698,3,22
AY,f10,1993,247,1117,4.52226720647773,1.30651982382901,4,10
BA,f10,1993,941,39898,42.3995749202976,22.329332886406,4,63
BB,f10,1993,522,13119,25.132183908046,17.3876183161891,6,63
BC,f10,1993,4091,31704,7.74969445123442,9.06045432570222,2,63
BD,f10,1993,86,3006,34.953488372093,12.8541975559739,10,61
BE,f10,1993,54522,1446000,26.5214042038076,17.7020651533842,3,63
BF,f10,1993,2350,25833,10.9927659574468,15.4092660300068,3,63
BG,f10,1993,57825,347015,6.00112408127972,7.12954058344532,3,63
BH,f10,1993,1932,11699,6.05538302277433,5.98155697273685,3,61
BK,f10,1993,6996,40838,5.83733562035449,2.82693307157947,3,39
BL,f10,1993,17653,187213,10.6051662606922,12.2729997516793,3,63
BM,f10,1993,10267,82106,7.9970780169475,8.29231175486347,3,63
BN,f10,1993,1959,14713,7.51046452271567,8.43797099461804,4,62
BO,f10,1993,69901,635034,9.0847627358693,8.24521779910621,3,62
BP,f10,1993,148,941,6.35810810810811,3.91464701928666,4,24
BR,f10,1993,516696,5416450,10.4828564571818,12.0498067182305,3,63
BT,f10,1993,415,2300,5.54216867469879,2.41432075218692,3,16
BU,f10,1993,88745,602835,6.79288974026706,5.85141514962063,3,63
BV,f10,1993,0,0,0,0,0,0
BX,f10,1993,1639,31461,19.1952410006101,17.7833124208855,4,63
BY,f10,1993,423,5058,11.9574468085106,12.4427040574529,4,59
CA,f10,1993,943162,14067616,14.9153761495904,13.298186971849,3,63
CB,f10,1993,886,7246,8.1783295711061,9.13763729135481,3,61
CD,f10,1993,452,4766,10.5442477876106,11.2429048466101,3,59
CE,f10,1993,28954,184758,6.38108724183187,6.49468590954745,3,63
CF,f10,1993,1808,20319,11.2383849557522,12.9359863717202,4,63
CG,f10,1993,4764,65845,13.821368597817,14.6102670894193,3,63
CH,f10,1993,1457581,10809961,7.41637068540273,8.24650248604056,2,63
CI,f10,1993,32503,416085,12.801433713811,14.2811425960545,2,63
CJ,f10,1993,306,4024,13.1503267973856,16.3556355308711,3,63
CK,f10,1993,5,20,4.0,0.0,4,4
CM,f10,1993,3666,37476,10.2225859247136,11.4499833818664,3,63
CN,f10,1993,165,790,4.78787878787879,1.93151809909351,3,12
CO,f10,1993,98329,1009161,10.2631065097784,11.0158791487978,3,63
CQ,f10,1993,281,5634,20.0498220640569,19.2562142755155,3,62
CS,f10,1993,15851,142433,8.98574222446533,11.3514821267071,2,63
CT,f10,1993,378,4615,12.2089947089947,11.0027040228658,4,52
CU,f10,1993,31142,158671,5.09508059854858,5.55094881658623,2,63
CV,f10,1993,562,3574,6.35943060498221,7.54528381579133,3,51
CW,f10,1993,104,580,5.57692307692308,2.13348896128595,3,12
CY,f10,1993,9974,98711,9.89683176258272,11.670003227258,3,63
DA,f10,1993,53961,672199,12.4571264431719,11.3615232304124,4,63
DJ,f10,1993,404,4147,10.2648514851485,13.4867611003511,4,62
DO,f10,1993,547,2057,3.76051188299817,2.38122879216696,3,24
DR,f10,1993,14407,124260,8.62497397098633,10.795494608858,3,63
EC,f10,1993,34060,351319,10.3147093364651,10.5618298543138,4,63
EG,f10,1993,102745,1507500,14.672246824663,13.8377358197735,3,63
EI,f10,1993,60088,528375,8.79335308214618,9.0383241721783,4,63
EK,f10,1993,904,10334,11.4314159292035,13.1824227544318,4,63
EN,f10,1993,22960,232445,10.1239111498258,8.79685185011898,4,63
ER,f10,1993,371,3813,10.277628032345,10.6003616264242,3,53
ES,f10,1993,10322,85366,8.27029645417555,9.76350793920425,3,63
ET,f10,1993,3482,29707,8.5315910396324,9.50185182510005,3,63
EZ,f10,1993,122365,1162611,9.50117272095779,8.4002980305049,3,63
FG,f10,1993,724,8647,11.9433701657459,12.2369943462818,4,60
FI,f10,1993,203582,3135404,15.4011847805798,12.5899593499048,5,63
FJ,f10,1993,1721,12313,7.15456130156886,5.79340659383785,3,46
FK,f10,1993,329,1931,5.8693009118541,3.70958666833349,3,21
FM,f10,1993,288,1850,6.42361111111111,4.46993018388044,3,28
FO,f10,1993,624,7285,11.6746794871795,6.96982506493047,5,42
FP,f10,1993,1064,6534,6.14097744360902,7.56319574463545,3,51
FR,f10,1993,564207,6470522,11.4683476100084,12.2741580368753,2,63
FS,f10,1993,492,1966,3.99593495934959,0.0636279505792624,3,4
GA,f10,1993,326,2987,9.16257668711656,9.6500712727561,3,49
GB,f10,1993,5134,65977,12.8509933774834,13.931737203464,4,63
GG,f10,1993,16240,140058,8.62426108374384,6.88757913748983,3,58
GH,f10,1993,10283,98803,9.6083827676748,11.7073124489502,3,63
GI,f10,1993,10,489,48.9,8.03056660516554,31,59
GJ,f10,1993,382,2232,5.84293193717278,4.7795857112603,3,27
GK,f10,1993,137,4572,33.3722627737226,14.7579038822132,5,58
GL,f10,1993,737,12211,16.5685210312076,8.24282013035524,6,60
GM,f10,1993,504158,6012746,11.9263127828974,11.2483866021309,3,63
GP,f10,1993,1978,24733,12.5040444893832,11.9218568690159,3,63
GQ,f10,1993,660,20354,30.8393939393939,18.7779277165948,4,63
GR,f10,1993,94164,735792,7.81394163374538,8.88238586032352,3,63
GT,f10,1993,13256,106803,8.05695534097767,9.59480848862712,3,63
GV,f10,1993,1094,10822,9.89213893967093,9.32714739917432,4,53
GY,f10,1993,1046,9663,9.23804971319312,8.08639567725657,4,58
GZ,f10,1993,8277,118644,14.3341790503806,12.9105605411371,3,63
HA,f10,1993,1468,9972,6.79291553133515,8.52369059204647,2,52
HM,f10,1993,13,149,11.4615384615385,1.44729905555591,9,14
HO,f10,1993,10831,83666,7.72467916166559,9.53448368887255,3,63
HR,f10,1993,30278,259863,8.5825682013343,7.99050537932019,3,63
HU,f10,1993,65214,663124,10.1684300916981,9.72627486081013,3,63
IC,f10,1993,6257,158520,25.3348249960045,14.5044483575393,7,63
ID,f10,1993,152579,1404068,9.20223621861462,9.86763225170423,3,63
IM,f10,1993,703,9125,12.9800853485064,11.0090949853609,5,60
IN,f10,1993,1506812,9221328,6.11976012933266,6.48718169851557,2,63
IO,f10,1993,27,493,18.2592592592593,14.5184240359737,4,47
IR,f10,1993,399710,3842753,9.61385254309374,10.9154123495439,2,63
IS,f10,1993,20019,395191,19.7407962435686,18.6544796082981,3,63
IT,f10,1993,363255,5354501,14.7403366780911,13.1469550149723,3,63
IV,f10,1993,8605,71028,8.25427077280651,10.2661369724971,3,63
IZ,f10,1993,102604,1009243,9.83629293204943,11.1186103574434,3,63
JA,f10,1993,412564,6523255,15.8114983372277,16.103900520175,3,63
JE,f10,1993,226,6055,26.7920353982301,13.0998928698782,6,59
JM,f10,1993,12078,100549,8.32497102169233,10.1167202463443,3,63
JO,f10,1993,18001,187842,10.4350869396145,12.2079695385357,3,63
KE,f10,1993,6368,70978,11.1460427135678,11.3316286209973,3,62
KG,f10,1993,19509,215602,11.0514121687426,8.11370143562455,4,62
KN,f10,1993,6148,36229,5.89281067013663,4.95937238654078,3,54
KR,f10,1993,19,81,4.26315789473684,0.848658710347216,3,6
KS,f10,1993,133534,1718439,12.8689247682238,12.9564979956765,3,63
KT,f10,1993,37,220,5.94594594594595,1.54125161398738,4,9
KU,f10,1993,16879,259600,15.3800580603116,17.2012702248517,3,63
KZ,f10,1993,228543,2318628,10.1452593166275,9.46200831480539,3,63
LA,f10,1993,1334,10943,8.20314842578711,7.93252781802037,3,57
LE,f10,1993,11606,115445,9.94701016715492,10.5150508446768,3,63
LG,f10,1993,14474,148304,10.2462346276081,9.22690200380159,3,61
LH,f10,1993,19813,205908,10.3925705344976,9.49369512517637,4,61
LI,f10,1993,112,680,6.07142857142857,2.73441782036442,4,17
LO,f10,1993,55991,593442,10.5988819631727,8.00512004408646,3,63
LS,f10,1993,194,3534,18.2164948453608,8.5092149008798,5,38
LT,f10,1993,1197,8627,7.20718462823726,8.76437204749804,2,61
LU,f10,1993,4662,70399,15.1006006006006,12.5221367119668,4,61
LY,f10,1993,96540,891550,9.23503211104206,10.5005712361511,3,63
MA,f10,1993,1728,14997,8.67881944444444,9.52490475770366,3,62
MB,f10,1993,1344,20523,15.2700892857143,13.0457915351175,3,63
MD,f10,1993,39901,293168,7.34738477732388,5.57256267713918,3,62
MF,f10,1993,149,699,4.69127516778523,2.50877474535687,3,14
MG,f10,1993,6877,57700,8.39028646212011,8.62636670788945,3,62
MH,f10,1993,111,731,6.58558558558559,3.74037736803223,3,19
MI,f10,1993,3643,29720,8.15811144660994,9.13348305473651,3,63
MJ,f10,1993,2514,22362,8.89498806682577,7.2728469422259,3,56
MK,f10,1993,10861,89796,8.26774698462388,8.06037543347697,3,60
ML,f10,1993,1589,16737,10.5330396475771,11.451858778788,3,63
MN,f10,1993,4,230,57.5,1.11803398874989,56,59
MO,f10,1993,34371,330235,9.60795438014605,12.2820852049454,2,63
MP,f10,1993,2327,20630,8.86549204984959,9.91118485893343,3,61
MR,f10,1993,1066,10459,9.81144465290807,10.8180023496048,3,63
MT,f10,1993,465,18859,40.5569892473118,17.670870251674,6,63
MU,f10,1993,40251,388604,9.65451790017639,11.5591507263463,3,63
MV,f10,1993,49,398,8.12244897959184,9.10400820688725,4,49
MX,f10,1993,471802,4240362,8.98758801361588,11.2774094486908,2,63
MY,f10,1993,46715,515021,11.0247457989939,12.0271228264239,3,63
MZ,f10,1993,3275,26756,8.16977099236641,9.86073418024792,3,62
NC,f10,1993,1443,9748,6.75537075537076,9.99017694518725,3,62
NE,f10,1993,25,85,3.4,0.489897948556636,3,4
NF,f10,1993,40,215,5.375,1.91947258381046,3,9
NG,f10,1993,2305,18805,8.15835140997831,9.59485585547575,3,63
NH,f10,1993,367,2853,7.77384196185286,6.44410654920686,3,34
NI,f10,1993,93022,1403269,15.0853454021629,15.8060853707421,3,63
NL,f10,1993,65779,1540678,23.4220343878746,17.216099757794,3,63
NN,f10,1993,50,2583,51.66,10.0271830540785,27,63
NO,f10,1993,124774,2292424,18.3726096782984,12.477796533898,5,63
NP,f10,1993,3869,30485,7.87929697596278,7.65670496760281,3,60
NR,f10,1993,26,301,11.5769230769231,5.30727423102609,4,23
NS,f10,1993,1605,15154,9.4417445482866,9.73364282085736,4,60
NU,f10,1993,7163,55341,7.72595281306715,9.08036501528657,3,63
NZ,f10,1993,33753,317881,9.41785915326045,12.1901535431915,3,63
OD,f10,1993,118,697,5.90677966101695,1.44964804691529,4,11
PA,f10,1993,12212,131387,10.7588437602358,12.9182429870732,3,63
PC,f10,1993,0,0,0,0,0,0
PE,f10,1993,33502,312124,9.31657811473942,11.4550385664191,3,63
PK,f10,1993,281223,2209603,7.85712050579078,8.07195973681423,2,63
PL,f10,1993,255891,2207458,8.626555838228,8.03789573023267,3,63
PM,f10,1993,7224,66523,9.20861018826135,11.2315101189629,3,63
PO,f10,1993,73539,765782,10.413277308639,11.6606873593958,3,63
PP,f10,1993,2569,27380,10.6578435188789,9.72266745987254,3,62
PS,f10,1993,90,702,7.8,6.00222181085193,4,29
PU,f10,1993,235,2229,9.48510638297872,6.79257976635532,4,35
QA,f10,1993,10286,139304,13.5430682481042,15.9225608150636,3,63
RE,f10,1993,2212,22673,10.25,11.4906745348488,3,63
RI,f10,1993,48135,417115,8.66552404695128,7.77376022426913,3,61
RM,f10,1993,29,285,9.82758620689655,7.41419405491572,3,35
RN,f10,1993,67,2570,38.3582089552239,12.9714974480933,17,63
